user_id,amount,hour,day_of_week,merchant_category,device_type,distance_from_home_km,is_foreign,is_high_risk_merchant,has_history_of_chargeback,is_fraud
3570,421742.92,22,1,utilities,mobile,8.53,0,0,0,1
2370,36062.67,1,0,gaming,mobile,2.88,0,0,0,0
1997,45954.61,2,2,fuel,mobile,3.05,0,0,0,0
1540,248317.74,6,2,fuel,desktop,10.46,0,0,0,1
3149,757845.61,0,0,healthcare,desktop,4.8,0,0,0,1
2292,142308.48,15,1,utilities,mobile,0.45,0,0,0,0
4233,726435.09,8,6,electronics,desktop,14.13,0,1,0,1
2201,336030.48,16,6,electronics,mobile,4.01,0,1,0,1
2281,334553.91,7,1,crypto,mobile,8.9,0,1,0,1
1705,190084.94,10,5,fuel,desktop,13.16,0,0,0,0
4247,151145.49,19,4,grocery,desktop,6.13,0,0,0,0
2159,64468.59,2,0,utilities,mobile,3.82,0,0,0,1
2457,538787.86,17,4,restaurants,mobile,7.25,0,0,0,1
4174,170845.54,21,4,gaming,tablet,6.35,0,0,0,0
3965,135979.73,17,2,grocery,mobile,6.65,0,0,0,0
3650,101207.71,15,4,education,mobile,17.34,0,0,0,0
2556,83255.64,2,2,grocery,mobile,4.55,0,0,0,1
3642,1046305.47,13,1,jewelry,tablet,12.3,0,1,0,1
1660,153757.5,0,1,insurance,mobile,15.06,0,0,0,1
3189,53845.42,20,0,travel,tablet,5.52,0,1,0,1
4220,948616.96,18,2,jewelry,tablet,19.65,0,1,0,1
4256,27189.14,16,1,telecom,mobile,0.17,0,0,0,0
1187,37318.46,7,2,restaurants,tablet,5.48,0,0,0,0
2102,64973.23,21,6,restaurants,mobile,22.35,0,0,0,0
4106,104474.59,7,3,education,mobile,2.21,0,0,0,0
1276,124497.51,14,4,travel,tablet,5.63,0,1,0,1
3247,226515.3,21,4,electronics,mobile,6.31,0,1,0,1
3636,79180.34,22,2,utilities,mobile,15.27,0,0,0,0
4054,66893.85,6,4,fashion,desktop,8.64,0,0,0,0
3662,153376.53,21,6,telecom,mobile,24.07,0,0,0,0
2850,87315.17,23,2,travel,desktop,2.14,0,1,0,1
2145,596502.74,8,4,utilities,mobile,16.5,0,0,0,1
4972,268539.03,4,3,utilities,mobile,5.55,0,0,0,1
2213,328072.44,22,6,utilities,mobile,12.6,0,0,0,1
1350,155144.43,10,4,fashion,mobile,4.82,0,0,0,0
4091,48408.09,20,1,insurance,desktop,1.67,0,0,0,0
2943,1684633.57,14,6,restaurants,mobile,2,0,0,0,1
4695,149103.69,14,0,healthcare,tablet,8.54,0,0,0,0
2030,45907.3,3,6,fashion,mobile,5.31,0,0,0,0
2440,113547.32,11,3,utilities,desktop,17.74,0,0,0,0
3954,183919.7,18,1,fuel,mobile,11.66,0,0,0,0
1333,267260,2,0,electronics,mobile,18.46,0,1,0,1
4471,542811.7,23,6,government,mobile,4.31,0,0,0,1
3050,57866.77,14,0,gaming,mobile,3.41,0,0,0,0
3402,125383.12,11,6,fuel,tablet,3.4,0,0,0,0
4720,122854.94,10,5,utilities,mobile,3.38,0,0,0,0
3135,285095.87,4,4,restaurants,desktop,18.98,0,0,0,1
3403,205745.38,16,5,healthcare,mobile,8.99,0,0,0,1
1837,695686.08,10,0,electronics,mobile,21.28,0,1,0,1
4482,57670.06,12,4,electronics,mobile,13.96,0,1,0,1
3285,278299,17,4,travel,mobile,1.32,0,1,0,1
3027,7085838.65,8,4,telecom,desktop,4.07,0,0,0,1
1741,58432,4,0,fuel,mobile,25.38,0,0,0,1
3857,660144.65,12,5,jewelry,mobile,1.51,0,1,0,1
1206,159609.83,10,1,telecom,mobile,14.49,0,0,0,0
3745,36891.01,11,5,grocery,mobile,2.76,0,0,0,0
3193,81260.32,2,6,grocery,desktop,8.7,0,0,0,1
4517,122320.42,15,2,fuel,mobile,18.91,0,0,0,0
3706,475533.56,23,6,crypto,desktop,17.25,0,1,0,1
3146,370046.37,10,0,utilities,mobile,8.67,0,0,0,1
2712,527106.44,18,2,grocery,mobile,3.71,0,0,0,1
2980,120463.71,1,2,grocery,desktop,6.15,0,0,0,1
1906,129619.44,22,2,grocery,tablet,7.53,0,0,0,0
3411,661358.94,15,0,gaming,desktop,20.23,0,0,0,1
1273,75396.37,10,2,education,mobile,8.64,0,0,0,0
3204,263282.64,22,3,electronics,mobile,10.69,0,1,0,1
1120,49408.24,2,4,grocery,mobile,3.23,0,0,0,0
4549,74909.99,19,3,fashion,desktop,3.13,0,0,0,0
3933,197508.46,15,0,grocery,mobile,4.8,0,0,0,0
1139,29578.71,20,0,fashion,mobile,19.9,0,0,0,0
4676,42439.56,16,4,healthcare,mobile,1.76,0,0,0,0
1779,77141.86,22,0,healthcare,mobile,5.42,0,0,0,0
2421,319862.08,14,6,restaurants,desktop,3.97,0,0,1,1
4227,510637.58,23,2,fashion,mobile,4.8,0,0,0,1
2460,759313.88,16,0,insurance,mobile,21.34,0,0,0,1
3450,1436354.84,8,0,travel,mobile,0.41,0,1,0,1
1066,3751878.05,12,6,utilities,mobile,13.94,0,0,0,1
4978,174585.52,20,4,government,mobile,7,0,0,0,0
2666,1527859.02,21,1,grocery,mobile,0.85,0,0,0,1
2982,183404.27,1,6,restaurants,mobile,2.19,0,0,0,1
3888,44585.11,7,0,fuel,mobile,6.86,0,0,0,0
3212,64374.8,5,4,education,mobile,6.45,0,0,0,0
1578,76904.48,10,1,education,desktop,12.65,0,0,0,0
4653,175829.69,6,2,utilities,desktop,16.28,0,0,0,0
2419,1022241.28,15,6,gaming,mobile,7.78,0,0,0,1
1617,116466.43,16,2,restaurants,mobile,2.82,0,0,0,0
1781,149336.92,9,4,restaurants,desktop,14.19,0,0,0,0
3727,145930.6,21,5,fashion,desktop,6.48,0,0,0,0
2667,392433.96,4,3,travel,mobile,11.71,0,1,0,1
3261,96019.38,11,5,fuel,mobile,4.22,0,0,0,0
3181,87169.09,13,2,education,mobile,15.09,0,0,0,0
3801,119142.35,2,4,telecom,mobile,16.76,0,0,0,1
4929,508407.37,3,0,jewelry,desktop,16.63,0,1,0,1
1069,41987.21,22,5,utilities,mobile,5.73,0,0,0,0
3815,116236.52,15,1,insurance,mobile,10.39,0,0,0,0
3323,161629.22,12,4,travel,mobile,2.61,0,1,0,1
2055,166062.25,5,0,government,mobile,24.07,0,0,0,0
4854,29489.9,6,6,grocery,mobile,27,0,0,0,0
2573,112380.34,23,2,fuel,mobile,23.92,0,0,0,0
3529,219989.84,1,2,jewelry,desktop,5.93,0,1,0,1
2702,181324.29,13,3,gaming,mobile,11.5,0,0,0,0
4285,51151.24,13,2,electronics,mobile,13.13,0,1,0,1
4004,28225.81,13,5,telecom,mobile,4.77,0,0,0,0
2255,1286446.05,10,4,electronics,mobile,8.32,0,1,0,1
2786,131611.44,5,1,fuel,mobile,17.97,0,0,0,0
3980,97719.22,7,2,utilities,mobile,1.88,0,0,0,0
2111,360862.42,11,4,restaurants,desktop,1.27,1,0,0,1
4369,106777.01,14,4,restaurants,desktop,6.26,0,0,0,0
4407,38221.5,22,1,telecom,desktop,8.51,0,0,0,0
4912,300008.48,18,6,electronics,mobile,8.83,0,1,0,1
2785,482454.1,7,6,restaurants,mobile,6.27,0,0,0,1
3553,487483.9,13,0,grocery,desktop,6.55,0,0,0,1
1723,140659.27,10,5,grocery,mobile,11.72,0,0,0,0
1575,46743.11,23,4,telecom,desktop,3.6,0,0,0,0
4280,371413.38,13,4,insurance,mobile,6.46,0,0,0,1
1983,178315.54,6,0,utilities,mobile,19.05,0,0,0,0
1334,167191.05,6,6,grocery,desktop,1.38,0,0,0,0
2012,61039.03,11,0,utilities,desktop,2.59,0,0,0,0
1342,94134.45,6,3,fashion,mobile,27.21,0,0,0,0
2069,215629.85,17,2,grocery,mobile,10.8,0,0,0,1
2910,100811.8,16,6,utilities,mobile,2.79,0,0,0,0
4944,133663.2,12,0,crypto,desktop,12.07,0,1,0,1
1014,68828.58,22,2,grocery,desktop,14.3,0,0,0,0
1910,62851.75,6,3,jewelry,desktop,6.56,0,1,0,1
2735,230969.91,17,5,travel,mobile,11.69,0,1,0,1
2563,44482.19,0,2,utilities,mobile,4.57,0,0,0,0
1810,457662.83,12,5,travel,desktop,10.79,0,1,0,1
4088,184591.17,8,1,gaming,mobile,0.7,0,0,0,0
4809,95233.37,2,4,insurance,mobile,5.77,0,0,0,1
2099,212663.43,17,0,gaming,desktop,4.51,0,0,0,1
3891,360484.77,23,5,crypto,mobile,4.47,0,1,0,1
2994,181600.68,12,5,utilities,desktop,12.16,0,0,0,0
4356,72872.34,7,1,grocery,mobile,10.7,0,0,0,0
1010,532235.84,2,0,grocery,mobile,8.63,0,0,0,1
2897,205860.75,10,6,healthcare,mobile,15.18,0,0,0,1
4456,97979.84,16,2,education,mobile,24.15,0,0,0,0
3428,72561.92,20,1,restaurants,mobile,5.18,0,0,0,0
4952,496637.14,3,4,fashion,mobile,17.59,0,0,0,1
3114,1075991.25,5,0,restaurants,mobile,0.28,0,0,1,1
2756,909319.78,0,2,grocery,mobile,1.3,0,0,0,1
2392,31960.81,1,1,utilities,mobile,7.59,0,0,0,0
3020,66993.45,10,0,grocery,mobile,17.33,0,0,0,0
1743,198854.72,4,2,fuel,desktop,7.6,0,0,0,1
2328,141399.63,7,6,gaming,mobile,0.13,0,0,0,0
3676,113761.46,6,5,utilities,tablet,21.53,0,0,0,0
1239,304876.43,0,2,fashion,desktop,1.09,0,0,0,1
2789,179730.69,21,5,fashion,mobile,8.99,0,0,0,0
1914,121580.89,12,1,fuel,mobile,2.32,0,0,0,0
2630,112534.72,23,2,fuel,desktop,29.82,0,0,0,0
3693,115434.74,23,6,healthcare,mobile,24.78,0,0,0,0
3466,102394.61,23,5,education,mobile,16.4,0,0,0,0
4861,383967.96,16,6,crypto,mobile,1.52,0,1,1,1
3906,68088.22,18,0,electronics,desktop,8.65,0,1,0,1
2611,720647.5,1,5,fashion,mobile,14.54,0,0,0,1
4616,107864.31,21,6,education,mobile,10.56,0,0,0,0
3871,191382.23,10,2,restaurants,mobile,4.58,0,0,0,0
4284,442764.33,11,1,fashion,mobile,16.68,0,0,0,1
3471,26970.02,16,6,restaurants,mobile,7.62,0,0,0,0
1941,152418.71,19,1,fashion,mobile,7.63,0,0,0,0
4161,82868.86,5,5,fuel,mobile,4.13,0,0,0,0
3018,109726.83,6,0,fashion,desktop,11.53,0,0,0,0
1748,34500.61,7,5,utilities,desktop,7.5,0,0,0,0
2110,151271.65,12,3,restaurants,mobile,15.11,0,0,0,0
1584,706247.83,6,0,travel,mobile,5.54,0,1,0,1
3908,78011.7,23,6,insurance,mobile,13.32,0,0,0,0
4783,333508.94,23,1,restaurants,mobile,1.04,0,0,0,1
2103,27458.89,4,1,fashion,desktop,3.94,0,0,0,0
1148,84270.73,9,0,fashion,desktop,5.94,0,0,0,0
4395,199739.5,14,3,healthcare,mobile,6.56,0,0,0,0
2438,145108.9,12,6,fuel,mobile,3.01,0,0,0,0
2029,103835.49,17,4,healthcare,mobile,0.56,0,0,0,0
1653,448486.35,16,2,restaurants,mobile,20.57,0,0,0,1
2538,225791.54,19,3,healthcare,mobile,3.18,0,0,0,1
4920,101080.72,14,6,restaurants,mobile,14.37,0,0,0,0
1784,1231987.26,13,2,healthcare,mobile,18.24,0,0,1,1
2171,186086,17,2,restaurants,mobile,10.75,0,0,0,0
3094,541495.32,9,0,utilities,desktop,5.33,0,0,0,1
1712,183112.94,20,5,restaurants,desktop,13.14,0,0,0,0
2317,164553.31,9,2,insurance,desktop,2.95,0,0,0,0
3816,724155.08,8,0,utilities,desktop,3.72,0,0,0,1
4258,614425.76,13,2,crypto,mobile,0.06,0,1,0,1
2236,115833.97,19,5,gaming,mobile,12.35,0,0,0,0
3979,330476.12,23,5,healthcare,mobile,7.95,0,0,0,1
4342,129179.54,9,0,fashion,mobile,5.9,0,0,0,0
4041,165500.34,7,3,gaming,mobile,7.71,0,0,0,0
1233,53047.79,18,3,utilities,mobile,0.41,0,0,0,0
2773,92369.87,21,4,government,desktop,16.81,0,0,0,0
3209,69098.33,10,6,healthcare,mobile,8.65,0,0,0,0
4550,349422.53,7,4,government,desktop,6.04,0,0,0,1
1257,370008.19,9,1,telecom,mobile,7.38,0,0,0,1
4760,110944.44,7,6,telecom,mobile,4.31,0,0,0,0
3662,172660.75,18,4,education,mobile,9.57,0,0,0,0
2654,1483501.33,23,2,grocery,mobile,9.17,0,0,0,1
1140,81178.15,10,4,grocery,mobile,16.73,0,0,0,0
3998,756939.25,22,2,telecom,mobile,20.11,0,0,0,1
2873,163517.47,2,5,crypto,mobile,10.9,0,1,0,1
1018,39753.68,6,0,restaurants,mobile,12.03,0,0,0,0
1591,689843.71,1,4,grocery,desktop,24.23,0,0,1,1
3798,252051.91,3,5,travel,mobile,0.1,0,1,0,1
4639,47383.04,0,2,restaurants,desktop,6.05,0,0,0,0
2654,78151.14,22,2,telecom,desktop,3.4,0,0,0,0
3784,365644.05,17,2,fuel,tablet,6.7,0,0,0,1
2258,174506.67,15,5,fuel,mobile,9.29,0,0,0,0
3535,505549.68,19,4,grocery,desktop,4.14,0,0,0,1
3691,365589.27,2,5,restaurants,mobile,11.51,0,0,0,1
3641,135660.18,12,4,fuel,mobile,8.56,0,0,0,0
2195,1121077.68,23,6,restaurants,mobile,4.74,0,0,0,1
4841,283407.65,15,5,healthcare,desktop,17.14,0,0,0,1
3289,142582.38,0,4,fuel,mobile,2.27,0,0,0,1
2455,182151.8,17,2,healthcare,mobile,1.49,0,0,0,0
3717,60763.47,12,2,grocery,mobile,5.59,0,0,0,0
4196,195463.34,19,5,fuel,tablet,25.33,0,0,0,0
1000,173218.51,19,5,grocery,mobile,6.53,0,0,0,0
2360,667783.14,1,6,telecom,mobile,14.78,0,0,0,1
3244,299194.25,6,1,government,mobile,8.47,0,0,0,1
2552,254070.47,10,6,gaming,mobile,9.92,0,0,0,1
1393,100295.54,10,2,restaurants,mobile,4.94,0,0,0,0
1947,65423.09,14,5,grocery,desktop,9.7,0,0,0,0
2834,84487.36,14,4,restaurants,tablet,5.4,0,0,0,0
4689,105291.31,23,1,utilities,mobile,16.75,0,0,0,0
4044,91949.89,14,6,utilities,desktop,0.77,0,0,0,0
1536,599003.53,20,1,insurance,desktop,9.41,0,0,0,1
3365,308462.86,18,6,grocery,mobile,6.93,0,0,0,1
3864,137270.38,8,2,grocery,mobile,10.6,0,0,0,0
1442,138619.96,6,1,education,mobile,2.64,0,0,0,0
2206,178093.93,14,5,gaming,mobile,24.56,0,0,0,0
1924,156559.58,10,1,gaming,desktop,5.48,0,0,0,0
2672,591536.02,18,5,utilities,mobile,5.44,0,0,0,1
3480,402977.45,7,4,gaming,mobile,13.9,0,0,0,1
2567,192208.91,1,3,grocery,mobile,26.26,0,0,1,1
4977,132046.36,6,3,restaurants,mobile,8.48,0,0,0,0
1270,205397.61,3,3,education,mobile,6.72,0,0,0,1
1404,211424.24,13,3,electronics,mobile,3.36,0,1,0,1
1367,228913.17,12,6,insurance,mobile,20.26,0,0,0,1
1781,289133.82,9,0,fashion,mobile,18.14,0,0,0,1
4039,279247.69,18,1,insurance,mobile,6.4,0,0,0,1
1161,96753.1,7,1,fashion,mobile,4.39,0,0,0,0
2239,478257.62,6,6,electronics,desktop,15.39,0,1,1,1
3555,171669.73,11,6,gaming,mobile,0.86,0,0,0,0
4088,61010.81,6,4,gaming,mobile,15.94,0,0,0,0
3610,191135.72,21,6,gaming,desktop,7.93,0,0,0,0
2724,42299.29,21,4,education,mobile,12.68,0,0,0,0
4858,136027.04,4,5,gaming,desktop,16.27,0,0,0,1
3607,180367.3,10,0,grocery,desktop,9.13,0,0,0,0
4146,224897.63,16,5,restaurants,mobile,9.42,0,0,0,1
4710,60208.2,20,1,jewelry,mobile,9.33,0,1,0,1
1256,47002.9,17,0,utilities,mobile,0.99,0,0,0,0
4252,165348.45,20,0,fuel,mobile,3.2,0,0,0,0
4090,129786.27,23,4,insurance,desktop,22.09,0,0,0,0
1886,118283.3,0,3,utilities,mobile,25.53,0,0,0,1
2302,95632.6,13,4,grocery,mobile,12.29,0,0,0,0
4172,366488.99,20,4,electronics,desktop,12.47,0,1,0,1
4852,235624.55,3,2,education,mobile,15.36,0,0,1,1
2244,175631.32,7,5,restaurants,mobile,3.8,0,0,0,0
2577,150986.96,0,3,restaurants,mobile,5.52,0,0,0,1
4306,457273.56,16,1,electronics,mobile,3.25,0,1,0,1
3384,69649.45,14,0,gaming,desktop,4.7,0,0,0,0
3921,582245.83,17,1,utilities,mobile,10,0,0,0,1
1978,165122.69,23,5,education,desktop,6.03,0,0,0,0
4271,200356.19,7,1,utilities,mobile,32.05,0,0,0,1
2603,31540,12,5,fashion,mobile,12.81,0,0,0,0
4091,268163.87,0,5,fuel,mobile,3.55,0,0,0,1
4844,293718.74,10,6,restaurants,mobile,9.32,0,0,0,1
3974,198272.06,19,5,fuel,mobile,16,0,0,0,0
1951,608468.85,3,5,gaming,desktop,11.63,0,0,0,1
4610,169487.66,19,0,restaurants,mobile,11.65,0,0,0,0
1380,184742.23,7,4,travel,desktop,1.04,0,1,0,1
4653,67783.61,13,5,fuel,mobile,2.91,0,0,0,0
4050,185966.48,11,5,crypto,mobile,8.26,0,1,0,1
2720,848790.37,12,0,fuel,desktop,21.16,0,0,0,1
1953,116800.92,14,1,healthcare,mobile,1.39,0,0,0,0
2199,77627.41,23,3,fashion,mobile,17.04,0,0,0,0
4709,109680.35,0,2,education,mobile,14.61,0,0,0,1
2283,102751.51,16,4,fashion,mobile,16.94,0,0,0,0
3991,153681.14,8,1,restaurants,mobile,16.4,0,0,0,0
1844,274210.42,3,5,telecom,desktop,4.52,0,0,0,1
4401,310683.94,11,2,fashion,desktop,1.67,0,0,0,1
4887,84362.03,7,5,fashion,mobile,7.34,0,0,0,0
4156,278185.29,10,4,grocery,mobile,0.43,0,0,0,1
2667,76651.33,1,6,fashion,mobile,2.05,0,0,0,1
2075,180391.37,15,6,utilities,mobile,17.27,0,0,0,0
2276,246550.67,21,5,electronics,mobile,3.65,0,1,0,1
1877,1391621.99,1,4,grocery,mobile,7.59,1,0,0,1
4385,168950.65,6,6,jewelry,mobile,3.58,0,1,0,1
2845,1325539.88,18,6,jewelry,mobile,5.33,0,1,0,1
1508,235096.67,22,0,restaurants,desktop,5.18,0,0,0,1
4202,202227.84,21,2,restaurants,mobile,2.85,0,0,0,1
3575,1874629.7,22,0,electronics,mobile,13.58,0,1,0,1
1287,162818.61,23,2,gaming,mobile,10.9,0,0,0,0
4692,43223.91,18,4,education,mobile,21.38,0,0,0,0
3125,25676.88,11,0,grocery,mobile,2.93,0,0,0,0
3902,186251.17,17,6,telecom,mobile,20.65,0,0,0,0
1499,697171.78,6,2,healthcare,desktop,7.43,0,0,0,1
4148,436667.98,1,5,utilities,mobile,14.9,0,0,0,1
2430,145736.38,5,1,healthcare,mobile,1.05,0,0,0,0
3507,548606.76,22,3,fuel,mobile,0.81,0,0,0,1
1614,64744.98,0,1,telecom,mobile,2.66,0,0,0,1
1299,47551.53,13,2,education,mobile,1.84,0,0,0,0
1731,58309.99,11,5,grocery,mobile,4.38,0,0,0,0
3632,886483.99,6,1,electronics,mobile,10.43,0,1,1,1
2126,673623.85,0,2,restaurants,desktop,5.93,0,0,0,1
4505,90155.43,11,2,restaurants,desktop,1.58,0,0,0,0
1268,103364.88,20,2,education,mobile,14.24,0,0,0,0
2913,4015384.79,16,0,insurance,desktop,0.39,0,0,0,1
2401,102594.64,12,0,restaurants,mobile,28.35,0,0,0,0
3890,65144.21,22,0,grocery,mobile,11.65,0,0,0,0
4531,143504.51,14,1,healthcare,mobile,13.65,0,0,0,0
1615,787674.98,22,0,electronics,mobile,20.09,0,1,0,1
2484,393041.52,13,5,gaming,mobile,11.59,0,0,0,1
4877,1762959.84,2,6,crypto,mobile,5.49,0,1,0,1
4556,216365.23,2,1,crypto,mobile,7.05,0,1,0,1
1487,108809.68,8,5,restaurants,mobile,6.86,0,0,0,0
4877,172924.69,18,2,restaurants,desktop,14.71,0,0,0,0
3879,48456.23,15,3,fashion,mobile,7.2,0,0,1,1
3586,155107.08,8,4,fuel,desktop,3.47,0,0,0,0
1241,75831.29,19,6,utilities,mobile,15.74,0,0,0,0
2874,18045.03,19,0,grocery,mobile,0.42,0,0,0,0
4865,143630.67,19,6,telecom,desktop,1.28,0,0,0,0
1064,16034.77,20,0,grocery,mobile,14.99,0,0,0,0
2146,54784.98,14,3,grocery,mobile,15.71,0,0,0,0
1760,158471.07,21,5,restaurants,mobile,27.46,0,0,0,0
3020,180427.89,10,5,utilities,mobile,5.57,0,0,0,0
1624,40657.55,0,5,education,desktop,17.8,0,0,0,0
1541,143190.77,7,3,telecom,desktop,7.25,0,0,0,0
2836,1061705.29,17,2,gaming,desktop,0.47,0,0,0,1
2106,62270.75,18,1,utilities,mobile,6.76,0,0,0,0
1598,1331640.38,2,5,grocery,desktop,1.68,0,0,0,1
4032,11173.46,7,6,grocery,mobile,30.32,0,0,0,0
2757,187146.74,5,1,utilities,mobile,18.64,0,0,0,0
2052,73142.92,5,2,fashion,desktop,1.34,0,0,0,0
1216,62487.38,2,0,fashion,mobile,12.78,0,0,0,1
2780,67831.75,7,2,restaurants,mobile,6.93,0,0,0,0
3504,68113.95,13,3,gaming,desktop,15.29,0,0,0,0
4883,282658.16,15,6,government,mobile,17.79,0,0,0,1
1407,19495.87,14,6,telecom,desktop,7.58,0,0,0,0
2611,130485.13,5,3,grocery,mobile,2.52,0,0,0,0
3256,140709.07,16,5,fashion,mobile,0.7,0,0,0,0
2771,194199.25,12,1,grocery,mobile,0.58,0,0,0,0
4577,208295.97,3,1,grocery,mobile,2.03,0,0,0,1
4906,603602.56,2,1,healthcare,mobile,13.21,0,0,0,1
1661,53216.28,5,5,education,tablet,14.53,0,0,0,0
4362,241616.32,11,2,travel,desktop,4.75,0,1,0,1
3015,67782.78,10,1,travel,mobile,14.79,0,1,0,1
3047,377410.96,7,6,fashion,mobile,9.97,0,0,0,1
4704,86107.52,12,3,restaurants,mobile,8.65,0,0,1,1
4661,57475.84,13,1,fashion,desktop,1.87,0,0,0,0
4842,84522.22,9,3,utilities,desktop,8.05,0,0,0,0
4310,40481.59,2,5,restaurants,mobile,3.49,0,0,0,0
3738,58180.51,3,1,grocery,mobile,7.47,0,0,0,1
1692,389910.76,7,3,utilities,mobile,25.83,0,0,0,1
1274,67410.11,7,2,restaurants,mobile,11.48,0,0,0,0
2997,220845.57,12,2,grocery,mobile,0.36,0,0,0,1
3448,29473.3,6,1,grocery,mobile,1.88,0,0,0,0
2059,310449.88,1,0,crypto,mobile,15.49,0,1,0,1
3129,201075.8,21,6,gaming,desktop,13.41,0,0,0,1
3017,232659.79,19,3,gaming,desktop,0.08,0,0,0,1
4205,400797.87,3,0,utilities,mobile,17.41,0,0,0,1
2476,170254.58,6,6,healthcare,desktop,6.72,0,0,0,0
4951,150330.43,23,2,utilities,desktop,17.29,0,0,0,0
2979,171124.42,3,2,fuel,mobile,13.2,0,0,0,1
3859,996185.92,7,3,gaming,mobile,14.06,0,0,0,1
2616,198313.56,11,0,fashion,desktop,20.31,0,0,1,1
3647,628806.34,6,0,restaurants,desktop,24.32,0,0,0,1
4549,643589.47,19,4,utilities,mobile,11.32,0,0,1,1
1375,150182.69,3,3,utilities,mobile,10.5,0,0,0,1
1662,41830.34,19,1,restaurants,mobile,1.88,0,0,0,0
3214,498127.82,9,6,insurance,mobile,11.8,0,0,0,1
4453,128507.24,8,4,telecom,mobile,27.34,0,0,0,0
2854,325393.2,17,6,healthcare,mobile,6.46,0,0,0,1
2665,186840.47,18,3,restaurants,mobile,19.08,0,0,0,0
4650,26514.35,6,5,healthcare,desktop,22.84,0,0,0,0
2022,77505.4,8,1,restaurants,desktop,4.5,0,0,0,0
2237,129743.11,13,5,utilities,mobile,11.29,0,0,0,0
3889,190520.69,19,1,fashion,tablet,7.05,0,0,0,0
4739,97751.59,21,1,restaurants,mobile,2.15,0,0,0,0
1861,807068.76,15,1,education,desktop,16.37,0,0,0,1
2287,186057.78,5,4,restaurants,desktop,8.09,0,0,0,0
2266,140372.09,16,1,grocery,mobile,0.66,0,0,0,0
3784,203446.28,13,6,restaurants,mobile,4.29,0,0,0,1
3106,646958.44,10,5,education,desktop,7.73,0,0,0,1
4032,176007.31,23,3,healthcare,mobile,10.62,0,0,0,0
1480,120798.2,22,6,crypto,mobile,6.69,0,1,0,1
4344,813216.57,7,5,crypto,desktop,9.53,0,1,0,1
3871,496237.08,22,4,grocery,mobile,2.15,0,0,0,1
